Name,Department,Rating,# of Ratings,% Would Take Again,Difficulty,Link to Page
Darrell Hamamoto,Asian Studies,3.4,127 ratings,100%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=159818
Bo Liu,Biology,3.2,30 ratings,38%,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=159861
Gregg Recanzone,Biology,3.3,51 ratings,67%,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=160594
Robert Sommer,Psychology,3.1,14 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=160598
David Nutter,Music,2.3,17 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=161108
D.R. Wagner,Design,2.7,67 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=161130
Dan Cox,Physics,3.1,31 ratings,80%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=161199
Susan George,Humanities,3.7,28 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=161737
Hilary Hoynes,Economics,4.2,46 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=161938
Kari Lokke,English,2.9,12 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=162298
Francisco Samaniego,Statistics,3.6,47 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=162840
Karl Beitel,Social Science,2.7,29 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=162924
G.T. Sallee,Mathematics,3,74 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=163655
Bernadette Tarallo,Social Science,3.2,69 ratings,50%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=165802
Katherine Gibbs,Psychology,4,90 ratings,100%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=166838
Norman Skonovd,Sociology,2.6,31 ratings,0%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=166841
Ben Yoo,Engineering,3.3,6 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=166897
Norma Lopez-Burton,Languages,4.8,29 ratings,N/A,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=167078
Richard Sexton,Economics,4.5,11 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=167893
John Vohs,Communication,4.2,25 ratings,100%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=169489
Jarue Manning,Science,3.3,22 ratings,N/A,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=169992
John Yoder,Biology,4.8,19 ratings,100%,1.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170293
Dawn Sumner,Geology,4.2,14 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170330
Niels Jensen,Engineering,3.3,63 ratings,89%,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170365
Rob Chai,Engineering,3.6,37 ratings,67%,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170367
James Griesemer,Philosophy,4.4,65 ratings,79%,1.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170912
David Smith,Anthropology,2.7,15 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=170958
Bishnupriya Ghosh,English,3.1,32 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=171870
Yvette Flores-Ortiz,Ethnic Studies,4.8,22 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=172009
Francisco Alarcon,Languages,2.5,44 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=172303
Alexander Soshnikov,Mathematics,2.8,59 ratings,89%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=172594
Steffen Abel,Biology,3.6,69 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=173337
Timothy Ginn,Engineering,4.7,10 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=174858
Vladimir Filkov,Computer Science,2.9,64 ratings,48%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=175528
Andrew Frank,Music,4.8,6 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=175870
Irwin Segel,Biology,3,76 ratings,50%,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176085
Catherine Kudlick,History,3.5,35 ratings,0%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176229
Joel Johnson,Psychology,4.2,63 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176484
Kathryn Radke,Biology,3.6,19 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176521
Patrick Farrell,Linguistics,3.8,39 ratings,88%,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176913
Bernard Levy,Engineering,2.7,19 ratings,100%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=177164
John Owens,Engineering,4.4,22 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=177894
Chia-Ning Chang,East Asian Studies,4,17 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=180643
Wayne Thiebaud,Fine Arts,4.8,6 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=183446
Liz Constable,French,3.2,45 ratings,70%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=187062
Rance Lefebvre,Science,4.5,19 ratings,75%,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=187314
Christine Acham,Ethnic Studies,3.6,33 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=187635
G.R. Redinbo,Engineering,1.7,17 ratings,N/A,4.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=187917
Albert Fischer,Science,4.4,4 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=188074
Karl Levitt,Computer Science,2.3,21 ratings,0%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=191245
Douglas Adams,Agriculture,4.4,35 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=192975
Ross Bauer,Music,2.8,15 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=202027
Chris Reynolds,Music,3.8,27 ratings,100%,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=202033
Kathi Conger,Human Development,4.2,19 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=202429
John Hunter,Mathematics,4.4,55 ratings,90%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=207984
Fred Wood,Chemistry,4.9,7 ratings,N/A,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=209920
Debra Long,Psychology,3.6,71 ratings,37%,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=211883
Jim McClain,Science,3.8,11 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=213733
Antonella Bassi,Languages,3.8,37 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=214119
Te Williams,Agriculture,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=214672
Te Goliber,Biology,3.6,6 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=214675
Charles Gasser,Science,4.3,58 ratings,100%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=214815
John Meeks,Biology,2.6,14 ratings,N/A,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=215179
Charles Berger,Communication,3.1,37 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=215304
David Van Leer,English,3.9,34 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=216686
Becky Westerdahl,Biology,3.7,33 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=216843
Rosemarie Kraft,Human Development,2.9,46 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=216850
Larry Harper,Human Development,2.6,71 ratings,N/A,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=216852
Kathy Cunningham,English,3.8,15 ratings,N/A,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=217378
